user,post_count,score
"{'reputation': 337523, 'user_id': 2901002, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://i.stack.imgur.com/hMDvl.jpg?s=128&g=1', 'display_name': 'jezrael', 'link': 'https://stackoverflow.com/users/2901002/jezrael'}",367,619
"{'reputation': 131535, 'user_id': 4909087, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://i.stack.imgur.com/qKJ0Q.png?s=128&g=1', 'display_name': 'coldspeed', 'link': 'https://stackoverflow.com/users/4909087/coldspeed'}",162,346
"{'reputation': 100666, 'user_id': 9209546, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/qk9vC.jpg?s=128&g=1', 'display_name': 'jpp', 'link': 'https://stackoverflow.com/users/9209546/jpp'}",199,294
"{'reputation': 111119, 'user_id': 7964527, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/MfHh3.jpg?s=128&g=1', 'display_name': 'Wen-Ben', 'link': 'https://stackoverflow.com/users/7964527/wen-ben'}",168,291
"{'reputation': 10108, 'user_id': 9698684, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Hj2XY.jpg?s=128&g=1', 'display_name': 'yatu', 'link': 'https://stackoverflow.com/users/9698684/yatu'}",126,250
"{'reputation': 33809, 'user_id': 6890912, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d291e4dfbf14dcc8874bd4fa620fac23?s=128&d=identicon&r=PG&f=1', 'display_name': 'blhsing', 'link': 'https://stackoverflow.com/users/6890912/blhsing'}",161,249
"{'reputation': 6798, 'user_id': 10611983, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/379cd29e7f3b043f4e563fed697dcf75?s=128&d=identicon&r=PG&f=1', 'display_name': 'Tomothy32', 'link': 'https://stackoverflow.com/users/10611983/tomothy32'}",129,217
"{'reputation': 712690, 'user_id': 100297, 'user_type': 'moderator', 'profile_image': 'https://www.gravatar.com/avatar/24780fb6df85a943c7aea0402c843737?s=128&d=identicon&r=PG', 'display_name': 'Martijn Pieters', 'link': 'https://stackoverflow.com/users/100297/martijn-pieters'}",105,217
"{'reputation': 5432, 'user_id': 9840637, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/QqY9S.png?s=128&g=1', 'display_name': 'anky_91', 'link': 'https://stackoverflow.com/users/9840637/anky-91'}",108,164
"{'reputation': 6711, 'user_id': 5173426, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/9tQ1B.png?s=128&g=1', 'display_name': 'user5173426', 'link': 'https://stackoverflow.com/users/5173426/user5173426'}",155,146
"{'reputation': 18474, 'user_id': 4001592, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/CXDU3.jpg?s=128&g=1', 'display_name': 'Daniel Mesejo', 'link': 'https://stackoverflow.com/users/4001592/daniel-mesejo'}",74,144
"{'reputation': 15718, 'user_id': 4932316, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/OrBci.jpg?s=128&g=1', 'display_name': 'Bazingaa', 'link': 'https://stackoverflow.com/users/4932316/bazingaa'}",100,134
"{'reputation': 133622, 'user_id': 4124317, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://i.stack.imgur.com/wsHAV.png?s=128&g=1', 'display_name': 'ImportanceOfBeingErnest', 'link': 'https://stackoverflow.com/users/4124317/importanceofbeingernest'}",120,121
"{'reputation': 37482, 'user_id': 2988730, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://i.stack.imgur.com/ZOX7t.jpg?s=128&g=1', 'display_name': 'Mad Physicist', 'link': 'https://stackoverflow.com/users/2988730/mad-physicist'}",60,110
"{'reputation': 20794, 'user_id': 6287308, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/fkjqD.jpg?s=128&g=1', 'display_name': 'Vaishali', 'link': 'https://stackoverflow.com/users/6287308/vaishali'}",56,103
"{'reputation': 13543, 'user_id': 4333359, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/231e42e97a07b2937c1bf8a313dfa3f7?s=128&d=identicon&r=PG&f=1', 'display_name': 'ALollz', 'link': 'https://stackoverflow.com/users/4333359/alollz'}",52,101
"{'reputation': 104129, 'user_id': 6451573, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/1LpwW.jpg?s=128&g=1', 'display_name': 'Jean-Fran&#231;ois Fabre', 'link': 'https://stackoverflow.com/users/6451573/jean-fran%c3%a7ois-fabre'}",47,96
"{'reputation': 7716, 'user_id': 8112138, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/f3b1ddf31abbf37d5fe71ad387e2772c?s=128&d=identicon&r=PG&f=1', 'display_name': 'Primusa', 'link': 'https://stackoverflow.com/users/8112138/primusa'}",56,95
"{'reputation': 24323, 'user_id': 7505395, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/4t4nq.jpg?s=128&g=1', 'display_name': 'Patrick Artner', 'link': 'https://stackoverflow.com/users/7505395/patrick-artner'}",70,92
"{'reputation': 11001, 'user_id': 8472377, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/7BpS7.png?s=128&g=1', 'display_name': 'Austin', 'link': 'https://stackoverflow.com/users/8472377/austin'}",67,91
